mat_partcode,mat_partname,mat_maker,unit
AVSS 0.3f BLACK,Wire,XINYA,pcs
AVSS 0.3f RED,Wire,XINYA,m
AVSS 0.3f YELLOW,Wire,XINYA,m
6189-1132,Housing,SUMITOMO DENSO,m
8100-3455,Terminal,SUMITOMO DENSO,m
7188-3377-40_NN,Housing,YAZAKI,m
7114-7386-02_NN,Terminal,YAZAKI,m
234W 0.13x19x20m BLACK,Tape,DENKA,m
234W 0.13x19mm YELLOW,Tape,DENKA,m
AH-3 AWG4 BLACK,Tube,IWASE,m
AH-6 AWG6/16 BLACK,Tube,IWASE,m
7165-1198,Wire Seal,SUMITOMO DENSO,m
6189-1129,Housing,SUMITOMO DENSO,m
29014-M2,Splice Terminal,NIPPON TANSHI,m
AH-3 AWG6 BLACK,Tube,IWASE,m
AVSS 1.25F WHITE,Wire ,XINYA,m
AVSS 1.25F BLUE,Wire ,XINYA,m
AVSS 0.5F BLACK,Wire ,XINYA,m
AVSS 0.5F WHITE,Wire ,XINYA,m
AVSS 0.5F LIGHT GREEN,Wire ,XINYA,m
AVSS 0.5F BLUE,Wire ,XINYA,m
AVSS 0.5F YELLOW,Wire ,XINYA,m
7116-7389-02_NN,Terminal,YAZAKI,m
7116-7390-02_NN,Terminal,YAZAKI,m
7116-1180P_NN,Terminal,YAZAKI,m
7116-1181P_NN,Terminal,YAZAKI,m
7116-4021P_NN,Terminal,YAZAKI,m
7123-1460_NN,Housing,YAZAKI,m
7283-1020_NN,Housing,YAZAKI,m
AH-6 AWG0 BLACK,Tube,IWASE,m
234W 0.13x19mm WHITE,Tape,DENKA,m
AVSS 0.5F BLUE/WHITE,Wire,XINYA,m
AVSS 1.25F RED,Wire,XINYA,m
AVSS 0.3f PINK,Wire,XINYA,m
AVSS 1.25F ORANGE,Wire,XINYA,m
AVSS 0.5F ORANGE,Wire,XINYA,m
AVSS 1.25F BLACK,Wire,XINYA,m
AVSS 0.5F BLACK/BLUE,Wire,XINYA,m
AVSS 2.0F GREEN,Wire,XINYA,m
6098-6203,Housing,SUMITOMO,m
7186-8849-30_NN,Housing,YAZAKI,m
7188-3378_NN,Housing,YAZAKI,m
7188-3376-90_NN,Housing,YAZAKI,m
7188-3379-80_NN,Housing,YAZAKI,m
8240-0213,Terminal,SUMITOMO,m
8240-0214,Terminal,SUMITOMO,m
8240-0215,Terminal,SUMITOMO,m
7114-4111-02_NN,Terminal,YAZAKI,m
7114-7388-02_NN,Terminal,YAZAKI,m
7114-7387-02_NN,Terminal,YAZAKI,m
82711-16830_NN,Clamp,DAIWA KASEI,m
