Item No.,mat_partcode,mat_partname,mat_maker,unit
NIPPON,,,,
RM-00001-NIPPON-L,UL 3265 AWG26 BLACK-LTK,Wire,LTK,meter
RM-00002-NIPPON,UL 3265 AWG30 BLACK-LTK,Wire,LTK,meter
RM-00003-NIPPON,GHR-05V-S,HOUSING,JST,pcs
RM-00004-NIPPON,SSHL-002T-P0.2,TERMINAL,JST,pcs
RM-00005-NIPPON,#248 19mm BLACK,TAPE,DENKA,meter
RM-00006-NIPPON,SHR-05V-S-B,HOUSING,JST,pcs
RM-00007-NIPPON,SSH-003T-P0.2-H,Terminal,JST,pcs
RM-00008-NIPPON,87421-0000,Terminal,MOLEX,pcs
RM-00009-NIPPON,87439-0400,Terminal,MOLEX,pcs
RM-00010-NIPPON,UL 3265 AWG28 BLACK-LTK,Wire,LTK,meter
RM-00011-NIPPON,ZHR-2,Housing,JST,pcs
RM-00012-NIPPON,SZH-002T-P0.5,Terminal,JST,pcs
RM-00013-NIPPON,87439-0600,Housing,MOLEX,pcs
RM-00013-NIPPON,87439-0700,Housing,MOLEX,pcs
RM-00014-NIPPON,UL 3265 AWG28 RED-LTK,Wire,LTK,meter
RM-00015-NIPPON,GHR-06V-S,HOUSING,JST,pcs
RM-00016-NIPPON,UL 3265 AWG30 BLACK P300,Wire,SUMITOMO,meter
RM-00017-NIPPON,UL 3265 AWG26 BLACK P300,Wire,SUMITOMO,meter
RM-00018-NIPPON,UL 3265 AWG28 WHITE P300,Wire,SUMITOMO,meter
RM-00019-NIPPON,UL 3265 AWG28  WHITE-LTK,Wire,LTK,meter
RM-00020-NIPPON,GHR-02V-S,HOUSING,JST,pcs
RM-00021-NIPPON,#248 G 19mm GRAY,TAPE,DENKA,meter
BIPH,,,,
RM-01310-TJP BRO,SMP-04V-BC,Connector,JST,pcs
RM-01311-TJP BRO,SMR-04V-B,Connector,JST,pcs
RM-01312-TJP BRO,DF1B-20DS-2.5RC,Connector,HIROSE,pcs
RM-01315-TJP BRO,RK2005T-T,Terminal,RENKYO,pcs
RM-01316-TJP BRO,RK2005H-D12-00,Housing,RENKYO,pcs
RM-01324-TJP BRO,RK4000T-T,Terminal,RENKYO,pcs
RM-01325-TJP BRO,RK4000H-02,Housing,RENKYO,pcs
RM-01326-TJP BRO,SUMITUBE F2(Z) 7x0.25 BLACK,Tube,SUMITOMO,meter
RM-01327-TJP BRO,PH-4YIGW (WT1),Housing,CWB,pcs
RM-01328-TJP BRO,PH-3YIGW (WT1),Housing,CWB,pcs
RM-01329-TJP BRO,PH-2YIGW (WT1),Housing,CWB,pcs
